Date,Open,High,Low,Close,Volume
2022-03-16,15.775,16.625,15.775,16.625,18153
2022-03-17,16.675,16.775,16.675,16.775,9243
2022-03-18,17.525,17.525,17.05,17.05,20964
2022-03-21,17.2,17.2,16.625,16.625,5792
2022-03-22,16.775,17.1,16.775,17.1,8627
2022-03-23,17.25,17.25,17,17,12305
2022-03-24,17.3,17.3,16.825,16.825,1603
2022-03-25,16.525,17,16.525,17,25841
2022-03-28,17.1,17.1,17.05,17.05,17331
2022-03-29,17,18.05,17,18.05,6725
2022-03-30,18.1,18.1,17.575,17.575,31520
2022-03-31,17.725,17.725,17,17,14167
2022-04-01,17.41,17.41,16.87,16.87,3299
2022-04-04,16.87,16.87,16.63,16.63,2443
2022-04-05,16.505,16.505,15.955,15.955,6542
2022-04-06,15.925,15.925,15.24,15.24,10353
2022-04-07,15.61,15.61,15.535,15.535,9263
2022-04-08,15.87,15.87,15.67,15.67,6404
2022-04-11,16.6,16.6,15.4,15.4,2281
2022-04-12,15.61,15.61,15.385,15.385,31985
2022-04-13,15.505,15.505,15.385,15.385,580
2022-04-14,15.385,15.385,15.385,15.385,0
2022-04-19,14.8,15.42,14.8,15.42,9756
2022-04-20,15.48,15.8,15.48,15.8,16454
2022-04-21,16.61,16.61,16.61,16.61,42317
2022-04-22,16.4,16.4,16.305,16.305,5196
2022-04-25,15.87,15.87,15.8,15.8,748
2022-04-26,15.935,15.935,15.09,15.09,18376
2022-04-27,15.335,15.335,14.775,14.775,5496
2022-04-28,14.555,15.335,14.555,15.335,43014
2022-04-29,15.345,15.64,15.345,15.64,1493
2022-05-03,14.525,14.525,14.42,14.42,7131
2022-05-04,14.105,14.44,14.105,14.44,3356
2022-05-05,14.69,14.69,14.01,14.01,2820
2022-05-06,14.22,14.22,14.105,14.105,14327
2022-05-09,14.05,14.05,13.05,13.05,3230
2022-05-10,13.64,13.64,12.64,12.64,58351
2022-05-11,13.04,13.04,12.165,12.165,20836
2022-05-12,12.325,12.325,11.82,11.82,30969
2022-05-13,11.725,12.48,11.725,12.48,18590
2022-05-16,12.46,12.46,12.21,12.21,9268
2022-05-17,12.21,12.21,12.21,12.21,0
2022-05-18,12.545,12.545,12.145,12.145,7764
2022-05-19,11.65,11.735,11.65,11.735,76671
2022-05-20,11.21,11.21,11.21,11.21,0
2022-05-23,11.49,11.49,11.49,11.49,0
2022-05-24,11.6,11.6,11.175,11.175,53191
2022-05-25,11.24,11.6,11.24,11.6,5145
2022-05-26,11.6,11.6,11.6,11.6,0
2022-05-27,12.28,12.28,12.28,12.28,0
2022-05-30,12.44,13.745,12.44,13.745,2449
2022-05-31,13.705,13.705,13.125,13.125,2123
2022-06-01,13.05,13.21,13.05,13.21,72875
2022-06-06,13.05,13.21,13.05,13.21,913
2022-06-07,14.385,14.385,13.935,13.935,39707
2022-06-08,14.575,14.575,14.575,14.575,0
2022-06-09,14.08,14.08,14.08,14.08,0
2022-06-10,14,14,13.925,13.925,3669
2022-06-13,13.66,13.66,12.585,12.585,4834
2022-06-14,12.6,12.6,12.135,12.135,4700
2022-06-15,11.87,11.87,11.705,11.705,3247
2022-06-16,12.29,12.29,10.935,10.935,901
2022-06-17,11.145,11.84,11.145,11.84,1001
2022-06-20,11.85,11.85,11.85,11.85,0
2022-06-21,12.04,12.04,12.04,12.04,0
2022-06-22,12.185,12.185,11.66,11.66,834
2022-06-23,11.565,11.84,11.565,11.84,4492
2022-06-24,12.905,12.905,12.905,12.905,0
2022-06-27,13.2,13.2,12.42,12.42,2987
2022-06-28,12.8,12.8,12.315,12.315,1656
2022-06-29,12.305,12.305,11.985,11.985,10627
2022-06-30,11.985,11.985,11.365,11.365,519
2022-07-01,11.705,11.85,11.705,11.85,62077
2022-07-04,12.4,12.4,11.565,11.565,49446
2022-07-05,11.64,11.64,11.06,11.06,308151
2022-07-06,11.315,11.41,11.315,11.41,389
2022-07-07,11.83,11.83,11.83,11.83,0
2022-07-08,12.155,12.155,12.155,12.155,0
2022-07-11,11.705,11.705,11.705,11.705,0
2022-07-12,12,12,11.315,11.315,12485
2022-07-13,11.325,11.325,10.965,10.965,2876
2022-07-14,10.915,10.915,10.4,10.4,2096
2022-07-15,10.4,10.755,10.4,10.755,2342
2022-07-18,10.705,11.25,10.705,11.25,7
2022-07-19,11,11.105,11,11.105,2257
2022-07-20,11.42,11.42,11.315,11.315,451
2022-07-21,11.365,11.47,11.365,11.47,1649
2022-07-22,11.64,12.165,11.64,12.165,3216
2022-07-25,12.6,12.6,12.185,12.185,791
2022-07-26,12.345,12.345,11.705,11.705,3386
2022-07-27,11.915,12.145,11.915,12.145,4256
2022-07-28,12.355,12.355,12.07,12.07,1644
2022-07-29,11.975,12.575,11.975,12.575,7738
2022-08-01,12.505,12.61,12.505,12.61,8056
2022-08-02,12.745,12.745,12.65,12.65,636
2022-08-03,12.505,13.345,12.505,13.345,1671
2022-08-04,13.785,13.785,13.6,13.6,190
2022-08-05,13.705,13.705,13.145,13.145,7916
2022-08-08,12.935,12.935,12.86,12.86,5218
2022-08-09,12.755,12.82,12.755,12.82,833
2022-08-10,12.515,12.61,12.515,12.61,2503
2022-08-11,12.785,13.2,12.785,13.2,8959
2022-08-12,13.05,13.26,13.05,13.26,192
2022-08-15,13.6,13.6,13.385,13.385,1064
2022-08-16,11.68,11.68,9.5525,9.5525,134931
2022-08-17,9.575,9.575,8.6675,8.6675,26359
2022-08-18,8.825,8.825,8.6625,8.6625,3800
2022-08-19,8.84,8.84,8.5625,8.5625,5772
2022-08-22,8.5875,8.5875,8.1675,8.1675,23018
2022-08-23,8.11,8.2,8.11,8.2,3311
2022-08-24,8.1675,8.1675,8.0625,8.0625,5437
2022-08-25,8.135,8.135,7.93,7.93,6065
2022-08-26,8.115,8.115,7.4575,7.4575,5944
2022-08-30,7.7575,7.7575,7.2825,7.2825,4468
2022-08-31,7.5825,8.105,7.5825,8.105,74762
2022-09-01,8.1875,8.1875,7.71,7.71,18686
2022-09-02,7.7775,8.02,7.7775,8.02,90017
2022-09-05,8.1875,8.1875,7.545,7.545,19976
2022-09-06,7.6625,7.6625,7.43,7.43,41495
2022-09-07,7.8,7.8,7.445,7.445,16494
2022-09-08,7.64,7.64,7.405,7.405,1
2022-09-09,7.4525,7.4875,7.4525,7.4875,1654
2022-09-12,7.6725,7.7825,7.6725,7.7825,448
2022-09-13,7.44,7.44,7.44,7.44,0
2022-09-14,7.5,7.5,7.4,7.4,2941
2022-09-15,7.3725,7.425,7.3725,7.425,12666
2022-09-16,7.3875,7.3875,7.3525,7.3525,2239
2022-09-20,7.64,7.64,7.3525,7.3525,52
2022-09-21,7.235,7.235,7.235,7.235,0
2022-09-22,7.0525,7.0525,7.0525,7.0525,0
2022-09-23,7,7,7,7,0
2022-09-26,7.0525,7.1875,7.0525,7.1875,18203
2022-09-27,7.235,7.235,7.1,7.1,1864
2022-09-28,7,7.0825,7,7.0825,148
2022-09-30,6.905,7.025,6.905,7.025,1202
2022-10-03,7.005,7.005,6.9525,6.9525,2200
2022-10-04,6.935,7.035,6.935,7.035,5425
2022-10-05,7,7,6.8825,6.8825,12371
2022-10-06,6.82,7.7625,6.82,7.7625,18658
2022-10-07,7.63,7.63,7.63,7.63,0
2022-10-10,7.3675,7.3675,7.3675,7.3675,0
2022-10-11,7.5,7.5,6.91,6.91,11851
2022-10-12,7.325,7.325,6.845,6.845,7563
2022-10-13,7.2725,7.2725,6.745,6.745,4204
2022-10-14,6.925,6.925,6.825,6.825,6686
